Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,seiko-presage-cocktail-time,,,,,,,,,,,Brown,,,,,,,,399,499,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko_cocktail_brown.jpg,FALSE,,,,,,,,,,,,,,,,
,seiko-presage-cocktail-time,,,,,,,,,,,Green,,,,,,,,399,499,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko_cocktail_green.jpg,FALSE,,,,,,,,,,,,,,,,
,seiko-presage-cocktail-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko_cocktail_secondary.jpg,2,seiko-presage-cocktail-time secondary,,,,,,,,,,,,,,,,,,
Seiko Prospex 1968 Heritage Diver's,seiko-prospex-1968-heritage-divers,"<p><strong>Seiko Prospex 1968 Heritage Diver's — A Legend Reborn from the Deep</strong></p><p>The Seiko Prospex 1968 Heritage Diver's is a faithful reinterpretation of Seiko's legendary 1968 Professional Diver's — the watch that pioneered Japanese deep-sea exploration. Featuring the iconic asymmetric case with its crown-protecting shoulder, this masterpiece is powered by the high-beat Caliber 8L35 automatic movement running at 28,800 vph with 50-hour power reserve. Water-resistant to 300 meters, with a sapphire crystal and unidirectional rotating bezel, it unites heritage aesthetics with professional diving performance.</p><ul><li>Movement: Seiko Caliber 8L35 — Automatic, 28,800 vph</li><li>Power Reserve: 50 hours</li><li>Crystal: Sapphire with anti-reflective coating</li><li>Water Resistance: 300m (30 bar)</li><li>Unidirectional rotating diver's bezel</li><li>Case: Asymmetric stainless steel</li><li>Stainless steel bracelet with diver's extension</li></ul><p><em>Born in 1968. Reborn for eternity.</em></p>",Seiko,Jewelry & Watches > Watches,Watch,"Seiko, Watch, Timepiece",TRUE,Active,,,,,,,,,,,,999.9,1200,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko_1968_main.jpg,1,Seiko Prospex 1968 Heritage Diver's,,FALSE,,,,,,,,,,,,,,,,
,seiko-prospex-1968-heritage-divers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko_1968_secondary.jpg,2,seiko-prospex-1968-heritage-divers secondary,,,,,,,,,,,,,,,,,,
Omega Speedmaster Moonwatch Snoopy,omega-speedmaster-moonwatch-snoopy,"<p><strong>Omega Speedmaster Moonwatch Snoopy Edition — A Tribute to NASA's Silver Spur Award</strong></p><p>The Omega Speedmaster Moonwatch Snoopy Edition celebrates NASA's Silver Spur Award, honoring Omega's critical contribution to the Apollo 13 rescue mission. Presented with Snoopy himself animated in the seconds subdial, this iconic chronograph features a striking white and blue color scheme — a nod to the mission's splashdown beneath a night sky. Powered by the Master Chronometer Caliber 3861, COSC-certified and anti-magnetic to 15,000 gauss. A collector's masterpiece where space history and horological excellence meet.</p><ul><li>Movement: Omega Caliber 3861 — Co-Axial Master Chronometer</li><li>COSC Chronometer certified</li><li>Anti-magnetic to 15,000 gauss (METAS certified)</li><li>Power Reserve: 50 hours</li><li>Crystal: Sapphire, scratch-resistant</li><li>Water Resistance: 50m (5 bar)</li><li>Chronograph with 12-hour counter and tachymeter scale</li><li>Hesalite crystal caseback with Snoopy animation</li></ul><p><em>The watch that helped bring Apollo 13 home.</em></p>",Omega,Jewelry & Watches > Watches,Watch,"Omega, Watch, Timepiece",TRUE,Active,,,,,,,,,,,,6999,8800,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_snoopy_main.jpg,1,Omega Speedmaster Moonwatch Snoopy,,FALSE,,,,,,,,,,,,,,,,
,omega-speedmaster-moonwatch-snoopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_snoopy_secondary.jpg,2,omega-speedmaster-moonwatch-snoopy secondary,,,,,,,,,,,,,,,,,,
Omega Speedmaster Professional,omega-speedmaster-professional,"<p><strong>Omega Speedmaster Professional Moonwatch — The Watch That Went to the Moon</strong></p><p>The Omega Speedmaster Professional is the most iconic timepiece in history — the only watch certified by NASA for all manned space missions, worn by astronauts from Mercury to the International Space Station. Featuring the hand-wound Caliber 3861 Master Chronometer movement, COSC-certified with 60-hour power reserve and anti-magnetic protection to 15,000 gauss. The tachymeter bezel, iconic black dial, and stainless steel bracelet make this the ultimate professional tool watch for those who aim for the stars.</p><ul><li>Movement: Omega Caliber 3861 — Hand-wound Master Chronometer</li><li>COSC & METAS certified</li><li>Anti-magnetic to 15,000 gauss</li><li>Power Reserve: 60 hours</li><li>Crystal: Hesalite (front) / Sapphire (caseback)</li><li>Water Resistance: 50m (5 bar)</li><li>Tachymeter scale on bezel</li><li>Stainless steel bracelet</li></ul><p><em>Worn on the moon. Proven in space. Perfected for Earth.</em></p>",Omega,Jewelry & Watches > Watches,Watch,"Omega, Watch, Timepiece",TRUE,Active,,,,,,,,,,,,5999,7500,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_speedmaster_pro_main.jpg,1,Omega Speedmaster Professional,,FALSE,,,,,,,,,,,,,,,,
,omega-speedmaster-professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_speedmaster_pro_secondary.jpg,2,omega-speedmaster-professional secondary,,,,,,,,,,,,,,,,,,
Omega De Ville Co-Axial Chronometer,omega-de-ville-co-axial-chronometer,"<p><strong>Omega De Ville Co-Axial Chronometer — The Pinnacle of Swiss Dress Watchmaking</strong></p><p>The Omega De Ville Co-Axial Chronometer represents the apex of Swiss watchmaking refinement. With its slim, elegant profile and impeccably finished case, the De Ville embodies timeless dress watch sophistication. Powered by Omega's Co-Axial escapement — a revolutionary technology that reduces friction and dramatically extends service intervals — and METAS-certified as a Master Chronometer. This is the watch for those who understand that true luxury is invisible to the untrained eye.</p><ul><li>Movement: Omega Co-Axial Master Chronometer</li><li>METAS Master Chronometer certified</li><li>Anti-magnetic to 15,000 gauss</li><li>Co-Axial escapement for superior long-term accuracy</li><li>Crystal: Sapphire, scratch-resistant, anti-reflective</li><li>Water Resistance: 30m (3 bar)</li><li>Case: Polished stainless steel</li><li>Alligator leather strap</li></ul><p><em>Where precision becomes poetry.</em></p>",Omega,Jewelry & Watches > Watches,Watch,"Omega, Watch, Timepiece",TRUE,Active,,,,,,,,,,,,3499,4400,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Omega Seamaster Diver 300,omega-seamaster-diver-300,"<p><strong>Omega Seamaster Diver 300m — The Legend. The Bond Watch. The Benchmark.</strong></p><p>The Omega Seamaster Diver 300m is the world's most recognizable professional dive watch — made legendary by James Bond and trusted by real-world diving professionals for over 70 years. Available in Blue, Black, and White, each model features a hypnotic wave-patterned dial and ceramic bezel, powered by the Co-Axial Master Chronometer Caliber 8800 with METAS certification and anti-magnetic protection to 15,000 gauss. Water-resistant to 300 meters. The ultimate fusion of performance and iconic design.</p><ul><li>Movement: Omega Caliber 8800 — Co-Axial Master Chronometer</li><li>METAS certified — Anti-magnetic to 15,000 gauss</li><li>Power Reserve: 55 hours</li><li>Crystal: Sapphire, double anti-reflective coating</li><li>Water Resistance: 300m (30 bar)</li><li>Unidirectional rotating ceramic bezel</li><li>Wave-patterned dial — Available in Blue, Black, White</li><li>Stainless steel bracelet or rubber strap</li></ul><p><em>Bond's choice. The diver's standard. Your legend.</em></p>",Omega,Jewelry & Watches > Watches,Watch,"Omega, Watch, Timepiece",TRUE,Active,,,Color,Blue,,,,,,,,2999,3800,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_seamaster_main.jpg,1,Omega Seamaster Diver 300,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_seamaster_blue.jpg,FALSE,,,,,,,,,,,,,,,,
,omega-seamaster-diver-300,,,,,,,,,,,Black,,,,,,,,2999,3800,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_seamaster_black.jpg,FALSE,,,,,,,,,,,,,,,,
,omega-seamaster-diver-300,,,,,,,,,,,White,,,,,,,,2999,3800,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_seamaster_white.jpg,FALSE,,,,,,,,,,,,,,,,
,omega-seamaster-diver-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_seamaster_secondary.jpg,2,omega-seamaster-diver-300 secondary,,,,,,,,,,,,,,,,,,
Omega Constellation Co-Axial Mater Chronometer,omega-constellation-co-axial-mater-chronometer,"<p><strong>Omega Constellation Co-Axial Master Chronometer — A Symbol of Timeless Prestige</strong></p><p>The Omega Constellation has been synonymous with precision and prestige since 1952. Today's Constellation carries the iconic clawed case design and is powered by the Master Chronometer caliber — the world's most rigorously tested movement certification. Available in Blue, with an elegant polished stainless steel case and integrated bracelet, the Constellation represents the perfect intersection of luxury, precision, and enduring elegance for the modern connoisseur.</p><ul><li>Movement: Omega Co-Axial Master Chronometer</li><li>METAS Master Chronometer certified</li><li>Anti-magnetic to 15,000 gauss</li><li>Power Reserve: 60 hours</li><li>Crystal: Sapphire, scratch-resistant</li><li>Water Resistance: 100m (10 bar)</li><li>Iconic claw-case architecture</li><li>Integrated stainless steel bracelet</li></ul><p><em>Since 1952, the standard of excellence.</em></p>",Omega,Jewelry & Watches > Watches,Watch,"Omega, Watch, Timepiece",TRUE,Active,,,Color,Blue,,,,,,,,3999,5000,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_constellation_main.jpg,1,Omega Constellation Co-Axial Mater Chronometer,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_constellation_blue.jpg,FALSE,,,,,,,,,,,,,,,,
,omega-constellation-co-axial-mater-chronometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/omega_constellation_secondary.jpg,2,omega-constellation-co-axial-mater-chronometer secondary,,,,,,,,,,,,,,,,,,
Casio MTP-V300D-1A Executive,casio-mtp-v300d-1a-executive,"<p><strong>Casio MTP-V300D-1A Executive — Classic Precision for Every Occasion</strong></p><p>The Casio MTP-V300D-1A Executive blends clean analog design with rock-solid everyday reliability. Featuring a crisp silver dial with day-date display, this quartz timepiece is built from stainless steel and matched with a polished stainless steel bracelet. Japanese quartz movement ensures accurate timekeeping with minimal maintenance. Water-resistant to 50 meters, the MTP-V300D is the versatile professional watch that works as hard as you do — from the boardroom to the weekend.</p><ul><li>Movement: Japanese quartz</li><li>Crystal: Mineral glass</li><li>Water Resistance: 50m (5 bar)</li><li>Case Material: Stainless steel</li><li>Day-date display</li><li>Stainless steel bracelet</li></ul><p><em>Timeless. Reliable. Effortlessly professional.</em></p>",Casio,Jewelry & Watches > Watches,Watch,"Casio, Watch, Timepiece",TRUE,Active,,,,,,,,,,,,49.9,69,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_mtp_main.jpg,1,Casio MTP-V300D-1A Executive,,FALSE,,,,,,,,,,,,,,,,
,casio-mtp-v300d-1a-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_mtp_secondary.jpg,2,casio-mtp-v300d-1a-executive secondary,,,,,,,,,,,,,,,,,,
Casio Vintage,casio-vintage,"<p><strong>Casio Vintage — The Icon of Retro Digital Style</strong></p><p>The Casio Vintage collection is a love letter to the golden era of digital watches. These iconic square-cased timepieces have graced the wrists of pop icons, designers, and visionaries for over four decades. Available in Green, White, Black, and Blue, each model features a vintage-inspired case, EL backlight, multi-function display, and Casio's legendary battery life. Retro aesthetics, modern reliability — the ultimate streetwear accessory that never goes out of style.</p><ul><li>Movement: Japanese quartz digital</li><li>EL backlight for easy night reading</li><li>Multi-function display: time, date, alarm, stopwatch</li><li>Battery life: approximately 7 years</li><li>Water Resistance: 30m (3 bar)</li><li>Resin case and strap</li><li>Available in Green, White, Black, Blue</li></ul><p><em>Retro soul. Modern spirit. Casio forever.</em></p>",Casio,Jewelry & Watches > Watches,Watch,"Casio, Watch, Timepiece",TRUE,Active,,,Color,Green,,,,,,,,59.9,79,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_vintage_main.jpg,1,Casio Vintage,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_vintage_green.jpg,FALSE,,,,,,,,,,,,,,,,
,casio-vintage,,,,,,,,,,,White,,,,,,,,59.9,79,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_vintage_white.jpg,FALSE,,,,,,,,,,,,,,,,
,casio-vintage,,,,,,,,,,,Black,,,,,,,,59.9,79,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_vintage_black.jpg,FALSE,,,,,,,,,,,,,,,,
,casio-vintage,,,,,,,,,,,Blue,,,,,,,,59.9,79,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_vintage_blue.jpg,FALSE,,,,,,,,,,,,,,,,
,casio-vintage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_vintage_secondary.jpg,2,casio-vintage secondary,,,,,,,,,,,,,,,,,,
Casio Gold,casio-gold,"<p><strong>Casio Gold — Timeless Elegance, Everyday Luxury</strong></p><p>The Casio Gold series brings warm, golden luxury to everyday timekeeping. These refined analog timepieces feature gold-tone stainless steel cases and bracelets with elegant proportions, powered by Casio's precise Japanese quartz movement. The classic dial design and day-date complication make this a versatile companion for formal occasions and daily wear alike. Durable, low-maintenance, and beautifully finished — timeless style at an accessible price.</p><ul><li>Movement: Japanese quartz</li><li>Crystal: Mineral glass</li><li>Water Resistance: 30m (3 bar)</li><li>Case & Bracelet: Gold-tone stainless steel</li><li>Day-date display</li></ul><p><em>Gold without compromise. Elegance without limits.</em></p>",Casio,Jewelry & Watches > Watches,Watch,"Casio, Watch, Timepiece",TRUE,Active,,,,,,,,,,,,69.9,89,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_gold_main.jpg,1,Casio Gold,,FALSE,,,,,,,,,,,,,,,,
,casio-gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_gold_secondary.jpg,2,casio-gold secondary,,,,,,,,,,,,,,,,,,
Casio General,casio-general,"<p><strong>Casio General — No-Nonsense, Reliable, Ready for Anything</strong></p><p>The Casio General defines straightforward, dependable timekeeping. Built on Casio's decades of expertise in precision watches, this versatile timepiece delivers clean analog style in Blue with a stainless steel case and bracelet. Powered by accurate Japanese quartz movement, water-resistant, and designed for long-lasting performance — the ideal everyday watch for anyone who values function and simplicity in equal measure.</p><ul><li>Movement: Japanese quartz</li><li>Crystal: Mineral glass</li><li>Water Resistance: 50m (5 bar)</li><li>Case Material: Stainless steel</li><li>Stainless steel bracelet</li></ul><p><em>Simple. Precise. Casio dependable.</em></p>",Casio,Jewelry & Watches > Watches,Watch,"Casio, Watch, Timepiece",TRUE,Active,,,Color,Blue,,,,,,,,49.9,69,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_general_main.jpg,1,Casio General,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_general_main.jpg,FALSE,,,,,,,,,,,,,,,,
,casio-general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_general_secondary.jpg,2,casio-general secondary,,,,,,,,,,,,,,,,,,
Casio Moonphase,casio-moonphase,"<p><strong>Casio Moonphase — Astronomical Elegance on Your Wrist</strong></p><p>The Casio Moonphase brings the poetry of the lunar cycle to everyday wear. Featuring a sophisticated moonphase complication alongside day-date functionality, this elegant timepiece adds astronomical beauty to your wrist. Available in Black and White, with refined analog dials and stainless steel cases, the Casio Moonphase delivers impressive complication watchmaking at an unbeatable price. Powered by accurate Japanese quartz movement, it elevates any look from casual to formal.</p><ul><li>Movement: Japanese quartz with moonphase complication</li><li>Crystal: Mineral glass</li><li>Water Resistance: 30m (3 bar)</li><li>Moonphase display</li><li>Day-date display</li><li>Stainless steel case and bracelet</li><li>Available in Black and White</li></ul><p><em>Track the moon. Own the night.</em></p>",Casio,Jewelry & Watches > Watches,Watch,"Casio, Watch, Timepiece",TRUE,Active,,,Color,Black,,,,,,,,79.9,99,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_moonphase_main.jpg,1,Casio Moonphase,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_moonphase_main.jpg,FALSE,,,,,,,,,,,,,,,,
,casio-moonphase,,,,,,,,,,,White,,,,,,,,79.9,99,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_moonphase_white.jpg,FALSE,,,,,,,,,,,,,,,,
,casio-moonphase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/casio_moonphase_secondary.jpg,2,casio-moonphase secondary,,,,,,,,,,,,,,,,,,
